_id,packageName,sourceDir,title,subtitle,description,websiteUrl,type,createdAt,updatedAt
ObjectId(58a795215fbc457423b174b8),net.ldmobile.adit,net/ldmobile/adit,LDMobile,,,http://www.ldmobile.net,ADVERTISEMENT,2017-02-18T00:16:35.956Z,2017-02-18T00:16:35.956Z
ObjectId(58a795225fbc457423b174ba),com.tss21.ad,com/tss21/ad,Tss21,,,http://tss21.co.jp.hypestat.com/,ADVERTISEMENT,2017-02-18T00:16:35.957Z,2017-02-18T00:16:35.957Z
ObjectId(58a795225fbc457423b174bb),com.adlooper.sdk,com/adlooper/sdk,Ad Looper,,,adlooper.weebly.com/,ADVERTISEMENT,2017-02-18T00:16:35.958Z,2017-02-18T00:16:35.958Z
ObjectId(58a795225fbc457423b174bd),com.mobage,com/mobage,Mobage,,,http://mobage.com/,ADVERTISEMENT,2017-02-18T00:16:35.959Z,2017-02-18T00:16:35.959Z
ObjectId(58a795235fbc457423b174be),com.playerize.superrewards,com/playerize/superrewards,Playerize - Superrewards,,,https://superrewards.com/,ADVERTISEMENT,2017-02-18T00:16:35.961Z,2017-02-18T00:16:35.961Z
ObjectId(58a795235fbc457423b174bf),com.appsfire.appbooster,com/appsfire/appbooster,Appsfire Appbooster,,,http://appsfire.com/,ADVERTISEMENT,2017-02-18T00:16:35.962Z,2017-02-18T00:16:35.962Z
ObjectId(58a795235fbc457423b174c0),com.unity3d.ads,com/unity3d/ads,Unity3d Ads,,,https://unity3d.com/de/services/ads,ADVERTISEMENT,2017-02-18T00:16:35.962Z,2017-02-18T00:16:35.962Z
ObjectId(58a795235fbc457423b174c1),jp.gmotech.smaad,jp/gmotech/smaad,Gmo Tech,,,https://gmotech.jp/,ADVERTISEMENT,2017-02-18T00:16:35.963Z,2017-02-18T00:16:35.963Z
ObjectId(58a795245fbc457423b174c2),com.adchina.android,com/adchina/android,AdChina,,,http://adchina.com,ADVERTISEMENT,2017-02-18T00:16:35.964Z,2017-02-18T00:16:35.964Z
ObjectId(58a795245fbc457423b174c3),com.octobird.advertising,com/octobird/advertising,Octobird,,,https://octobird.com/en/,ADVERTISEMENT,2017-02-18T00:16:35.964Z,2017-02-18T00:16:35.964Z
ObjectId(58a795245fbc457423b174c4),com.ngigroup.adstir,com/ngigroup/adstir,Ngigroup Adstir,,,http://www.ngigroup.fr/,ADVERTISEMENT,2017-02-18T00:16:35.965Z,2017-02-18T00:16:35.965Z
ObjectId(58a795255fbc457423b174c6),com.distilledmedia,com/distilledmedia,Distilled SCH,,,http://distilledsch.ie/,ADVERTISEMENT,2017-02-18T00:16:35.966Z,2017-02-18T00:16:35.967Z
ObjectId(58a795255fbc457423b174c7),com.hyprmx.android,com/hyprmx/android,HyprMx,,,https://www.hyprmx.com/,ADVERTISEMENT,2017-02-18T00:16:35.968Z,2017-02-18T00:16:35.968Z
ObjectId(58a795255fbc457423b174c8),tv.freewheel.ad,tv/freewheel/ad,FreeWheel,,,http://freewheel.tv/,ADVERTISEMENT,2017-02-18T00:16:35.968Z,2017-02-18T00:16:35.968Z
